(ep: 5, it: 39400, t: 0.057[s], ept: 0.61/2.33[h]) loss_total: 0.416, acc_r: 0.840
(ep: 5, it: 44400, t: 0.057[s], ept: 0.68/2.33[h]) loss_total: 0.429, acc_r: 0.810
(ep: 5, it: 49400, t: 0.057[s], ept: 0.76/2.33[h]) loss_total: 0.477, acc_r: 0.790
(ep: 5, it: 54400, t: 0.057[s], ept: 0.84/2.33[h]) loss_total: 0.512, acc_r: 0.750
(ep: 5, it: 59400, t: 0.057[s], ept: 0.91/2.33[h]) loss_total: 0.429, acc_r: 0.810
(ep: 5, it: 64400, t: 0.057[s], ept: 0.99/2.33[h]) loss_total: 0.529, acc_r: 0.740
(ep: 5, it: 69400, t: 0.057[s], ept: 1.07/2.33[h]) loss_total: 0.459, acc_r: 0.770
(ep: 5, it: 74400, t: 0.057[s], ept: 1.15/2.33[h]) loss_total: 0.518, acc_r: 0.800
(ep: 5, it: 79400, t: 0.057[s], ept: 1.22/2.33[h]) loss_total: 0.390, acc_r: 0.840
(ep: 5, it: 84400, t: 0.057[s], ept: 1.30/2.33[h]) loss_total: 0.447, acc_r: 0.760
(ep: 5, it: 89400, t: 0.057[s], ept: 1.38/2.33[h]) loss_total: 0.486, acc_r: 0.780
(ep: 5, it: 94400, t: 0.057[s], ept: 1.45/2.33[h]) loss_total: 0.462, acc_r: 0.780
(ep: 5, it: 99400, t: 0.057[s], ept: 1.53/2.33[h]) loss_total: 0.578, acc_r: 0.720
(ep: 5, it: 104400, t: 0.057[s], ept: 1.61/2.33[h]) loss_total: 0.520, acc_r: 0.800
(ep: 5, it: 109400, t: 0.057[s], ept: 1.68/2.33[h]) loss_total: 0.496, acc_r: 0.730
(ep: 5, it: 114400, t: 0.057[s], ept: 1.76/2.33[h]) loss_total: 0.531, acc_r: 0.720
(ep: 5, it: 119400, t: 0.057[s], ept: 1.84/2.33[h]) loss_total: 0.468, acc_r: 0.830
(ep: 5, it: 124400, t: 0.057[s], ept: 1.92/2.33[h]) loss_total: 0.462, acc_r: 0.800
(ep: 5, it: 129400, t: 0.057[s], ept: 1.99/2.33[h]) loss_total: 0.515, acc_r: 0.740
(ep: 5, it: 134400, t: 0.057[s], ept: 2.07/2.33[h]) loss_total: 0.566, acc_r: 0.740
(ep: 5, it: 139400, t: 0.057[s], ept: 2.15/2.33[h]) loss_total: 0.362, acc_r: 0.860
(ep: 5, it: 144400, t: 0.057[s], ept: 2.22/2.33[h]) loss_total: 0.473, acc_r: 0.770
(ep: 5, it: 149400, t: 0.057[s], ept: 2.30/2.33[h]) loss_total: 0.441, acc_r: 0.800
(ep: 6, it: 3000, t: 0.057[s], ept: 0.05/2.38[h]) loss_total: 0.501, acc_r: 0.750
(ep: 6, it: 8000, t: 0.057[s], ept: 0.12/2.35[h]) loss_total: 0.510, acc_r: 0.780
(ep: 6, it: 13000, t: 0.057[s], ept: 0.20/2.34[h]) loss_total: 0.495, acc_r: 0.750
(ep: 6, it: 18000, t: 0.057[s], ept: 0.28/2.34[h]) loss_total: 0.610, acc_r: 0.710
(ep: 6, it: 23000, t: 0.056[s], ept: 0.35/2.33[h]) loss_total: 0.485, acc_r: 0.770
(ep: 6, it: 28000, t: 0.057[s], ept: 0.43/2.33[h]) loss_total: 0.414, acc_r: 0.820
(ep: 6, it: 33000, t: 0.057[s], ept: 0.51/2.33[h]) loss_total: 0.543, acc_r: 0.750
(ep: 6, it: 38000, t: 0.057[s], ept: 0.58/2.33[h]) loss_total: 0.502, acc_r: 0.710
(ep: 6, it: 43000, t: 0.057[s], ept: 0.66/2.33[h]) loss_total: 0.509, acc_r: 0.780
(ep: 6, it: 48000, t: 0.057[s], ept: 0.74/2.33[h]) loss_total: 0.503, acc_r: 0.790
(ep: 6, it: 53000, t: 0.057[s], ept: 0.82/2.33[h]) loss_total: 0.435, acc_r: 0.750
(ep: 6, it: 58000, t: 0.057[s], ept: 0.89/2.33[h]) loss_total: 0.515, acc_r: 0.790
(ep: 6, it: 63000, t: 0.057[s], ept: 0.97/2.33[h]) loss_total: 0.484, acc_r: 0.800
(ep: 6, it: 68000, t: 0.057[s], ept: 1.05/2.33[h]) loss_total: 0.429, acc_r: 0.830
(ep: 6, it: 73000, t: 0.057[s], ept: 1.12/2.33[h]) loss_total: 0.411, acc_r: 0.880
(ep: 6, it: 78000, t: 0.057[s], ept: 1.20/2.33[h]) loss_total: 0.554, acc_r: 0.690
(ep: 6, it: 83000, t: 0.057[s], ept: 1.28/2.33[h]) loss_total: 0.513, acc_r: 0.730
(ep: 6, it: 88000, t: 0.057[s], ept: 1.35/2.33[h]) loss_total: 0.516, acc_r: 0.800
(ep: 6, it: 93000, t: 0.057[s], ept: 1.43/2.33[h]) loss_total: 0.403, acc_r: 0.800
(ep: 6, it: 98000, t: 0.057[s], ept: 1.51/2.33[h]) loss_total: 0.438, acc_r: 0.810
(ep: 6, it: 103000, t: 0.057[s], ept: 1.58/2.33[h]) loss_total: 0.493, acc_r: 0.780
(ep: 6, it: 108000, t: 0.057[s], ept: 1.66/2.33[h]) loss_total: 0.531, acc_r: 0.730
(ep: 6, it: 113000, t: 0.057[s], ept: 1.74/2.33[h]) loss_total: 0.468, acc_r: 0.780
(ep: 6, it: 118000, t: 0.057[s], ept: 1.82/2.33[h]) loss_total: 0.470, acc_r: 0.780
(ep: 6, it: 123000, t: 0.057[s], ept: 1.89/2.33[h]) loss_total: 0.436, acc_r: 0.760
(ep: 6, it: 128000, t: 0.057[s], ept: 1.97/2.33[h]) loss_total: 0.522, acc_r: 0.790
(ep: 6, it: 133000, t: 0.057[s], ept: 2.05/2.33[h]) loss_total: 0.407, acc_r: 0.810
(ep: 6, it: 138000, t: 0.057[s], ept: 2.12/2.33[h]) loss_total: 0.500, acc_r: 0.750
(ep: 6, it: 143000, t: 0.057[s], ept: 2.20/2.33[h]) loss_total: 0.464, acc_r: 0.800
(ep: 6, it: 148000, t: 0.057[s], ept: 2.28/2.33[h]) loss_total: 0.502, acc_r: 0.780
(ep: 7, it: 1600, t: 0.057[s], ept: 0.02/2.42[h]) loss_total: 0.596, acc_r: 0.690
(ep: 7, it: 6600, t: 0.057[s], ept: 0.10/2.35[h]) loss_total: 0.388, acc_r: 0.860
(ep: 7, it: 11600, t: 0.057[s], ept: 0.18/2.34[h]) loss_total: 0.482, acc_r: 0.740
