(ep: 4, it: 70800, t: 0.004[s], ept: 0.06/0.12[h]) loss_total: 0.430, acc_r: 0.810
(ep: 4, it: 75800, t: 0.004[s], ept: 0.06/0.12[h]) loss_total: 0.434, acc_r: 0.810
(ep: 4, it: 80800, t: 0.004[s], ept: 0.07/0.12[h]) loss_total: 0.454, acc_r: 0.760
(ep: 4, it: 85800, t: 0.004[s], ept: 0.07/0.12[h]) loss_total: 0.615, acc_r: 0.710
(ep: 4, it: 90800, t: 0.004[s], ept: 0.07/0.12[h]) loss_total: 0.404, acc_r: 0.800
(ep: 4, it: 95800, t: 0.004[s], ept: 0.08/0.12[h]) loss_total: 0.482, acc_r: 0.730
(ep: 4, it: 100800, t: 0.004[s], ept: 0.08/0.12[h]) loss_total: 0.587, acc_r: 0.660
(ep: 4, it: 105800, t: 0.004[s], ept: 0.09/0.12[h]) loss_total: 0.480, acc_r: 0.710
(ep: 4, it: 110800, t: 0.004[s], ept: 0.09/0.12[h]) loss_total: 0.531, acc_r: 0.750
(ep: 4, it: 115800, t: 0.004[s], ept: 0.09/0.12[h]) loss_total: 0.463, acc_r: 0.790
(ep: 4, it: 120800, t: 0.004[s], ept: 0.10/0.12[h]) loss_total: 0.398, acc_r: 0.790
(ep: 4, it: 125800, t: 0.004[s], ept: 0.10/0.12[h]) loss_total: 0.464, acc_r: 0.800
(ep: 4, it: 130800, t: 0.004[s], ept: 0.11/0.12[h]) loss_total: 0.357, acc_r: 0.880
(ep: 4, it: 135800, t: 0.004[s], ept: 0.11/0.12[h]) loss_total: 0.492, acc_r: 0.720
(ep: 4, it: 140800, t: 0.004[s], ept: 0.11/0.12[h]) loss_total: 0.450, acc_r: 0.770
(ep: 4, it: 145800, t: 0.004[s], ept: 0.12/0.12[h]) loss_total: 0.491, acc_r: 0.770
(ep: 4, it: 150800, t: 0.004[s], ept: 0.12/0.12[h]) loss_total: 0.557, acc_r: 0.670
(ep: 5, it: 4400, t: 0.004[s], ept: 0.00/0.13[h]) loss_total: 0.527, acc_r: 0.730
(ep: 5, it: 9400, t: 0.004[s], ept: 0.01/0.13[h]) loss_total: 0.460, acc_r: 0.790
(ep: 5, it: 14400, t: 0.004[s], ept: 0.01/0.12[h]) loss_total: 0.442, acc_r: 0.800
(ep: 5, it: 19400, t: 0.004[s], ept: 0.02/0.12[h]) loss_total: 0.443, acc_r: 0.770
(ep: 5, it: 24400, t: 0.004[s], ept: 0.02/0.12[h]) loss_total: 0.428, acc_r: 0.790
(ep: 5, it: 29400, t: 0.004[s], ept: 0.02/0.12[h]) loss_total: 0.362, acc_r: 0.810
(ep: 5, it: 34400, t: 0.004[s], ept: 0.03/0.12[h]) loss_total: 0.450, acc_r: 0.780
(ep: 5, it: 39400, t: 0.004[s], ept: 0.03/0.12[h]) loss_total: 0.428, acc_r: 0.800
(ep: 5, it: 44400, t: 0.004[s], ept: 0.04/0.12[h]) loss_total: 0.461, acc_r: 0.800
(ep: 5, it: 49400, t: 0.004[s], ept: 0.04/0.12[h]) loss_total: 0.429, acc_r: 0.800
(ep: 5, it: 54400, t: 0.004[s], ept: 0.04/0.12[h]) loss_total: 0.427, acc_r: 0.800
(ep: 5, it: 59400, t: 0.004[s], ept: 0.05/0.12[h]) loss_total: 0.405, acc_r: 0.830
(ep: 5, it: 64400, t: 0.004[s], ept: 0.05/0.12[h]) loss_total: 0.447, acc_r: 0.770
(ep: 5, it: 69400, t: 0.004[s], ept: 0.06/0.12[h]) loss_total: 0.501, acc_r: 0.740
(ep: 5, it: 74400, t: 0.004[s], ept: 0.06/0.12[h]) loss_total: 0.420, acc_r: 0.850
(ep: 5, it: 79400, t: 0.004[s], ept: 0.06/0.12[h]) loss_total: 0.574, acc_r: 0.710
(ep: 5, it: 84400, t: 0.004[s], ept: 0.07/0.12[h]) loss_total: 0.552, acc_r: 0.690
(ep: 5, it: 89400, t: 0.004[s], ept: 0.07/0.12[h]) loss_total: 0.449, acc_r: 0.740
(ep: 5, it: 94400, t: 0.004[s], ept: 0.08/0.12[h]) loss_total: 0.368, acc_r: 0.840
(ep: 5, it: 99400, t: 0.004[s], ept: 0.08/0.12[h]) loss_total: 0.433, acc_r: 0.790
(ep: 5, it: 104400, t: 0.004[s], ept: 0.08/0.12[h]) loss_total: 0.427, acc_r: 0.800
(ep: 5, it: 109400, t: 0.004[s], ept: 0.09/0.12[h]) loss_total: 0.471, acc_r: 0.740
(ep: 5, it: 114400, t: 0.004[s], ept: 0.09/0.12[h]) loss_total: 0.436, acc_r: 0.780
(ep: 5, it: 119400, t: 0.004[s], ept: 0.10/0.12[h]) loss_total: 0.394, acc_r: 0.820
(ep: 5, it: 124400, t: 0.004[s], ept: 0.10/0.12[h]) loss_total: 0.400, acc_r: 0.800
(ep: 5, it: 129400, t: 0.004[s], ept: 0.10/0.12[h]) loss_total: 0.382, acc_r: 0.860
(ep: 5, it: 134400, t: 0.004[s], ept: 0.11/0.12[h]) loss_total: 0.410, acc_r: 0.740
(ep: 5, it: 139400, t: 0.004[s], ept: 0.11/0.12[h]) loss_total: 0.452, acc_r: 0.780
(ep: 5, it: 144400, t: 0.004[s], ept: 0.12/0.12[h]) loss_total: 0.498, acc_r: 0.810
(ep: 5, it: 149400, t: 0.004[s], ept: 0.12/0.12[h]) loss_total: 0.514, acc_r: 0.780
(ep: 6, it: 3000, t: 0.004[s], ept: 0.00/0.13[h]) loss_total: 0.424, acc_r: 0.790
(ep: 6, it: 8000, t: 0.004[s], ept: 0.01/0.13[h]) loss_total: 0.447, acc_r: 0.770
(ep: 6, it: 13000, t: 0.004[s], ept: 0.01/0.12[h]) loss_total: 0.464, acc_r: 0.760
(ep: 6, it: 18000, t: 0.004[s], ept: 0.01/0.12[h]) loss_total: 0.483, acc_r: 0.770
(ep: 6, it: 23000, t: 0.004[s], ept: 0.02/0.12[h]) loss_total: 0.505, acc_r: 0.680
(ep: 6, it: 28000, t: 0.004[s], ept: 0.02/0.12[h]) loss_total: 0.424, acc_r: 0.810
(ep: 6, it: 33000, t: 0.004[s], ept: 0.03/0.12[h]) loss_total: 0.438, acc_r: 0.840
(ep: 6, it: 38000, t: 0.004[s], ept: 0.03/0.12[h]) loss_total: 0.450, acc_r: 0.830
(ep: 6, it: 43000, t: 0.004[s], ept: 0.03/0.12[h]) loss_total: 0.535, acc_r: 0.730
(ep: 6, it: 48000, t: 0.004[s], ept: 0.04/0.12[h]) loss_total: 0.363, acc_r: 0.810
(ep: 6, it: 53000, t: 0.004[s], ept: 0.04/0.12[h]) loss_total: 0.450, acc_r: 0.750
(ep: 6, it: 58000, t: 0.004[s], ept: 0.05/0.12[h]) loss_total: 0.455, acc_r: 0.780
(ep: 6, it: 63000, t: 0.004[s], ept: 0.05/0.12[h]) loss_total: 0.567, acc_r: 0.710
(ep: 6, it: 68000, t: 0.004[s], ept: 0.05/0.12[h]) loss_total: 0.562, acc_r: 0.690
(ep: 6, it: 73000, t: 0.004[s], ept: 0.06/0.12[h]) loss_total: 0.439, acc_r: 0.780
(ep: 6, it: 78000, t: 0.004[s], ept: 0.06/0.12[h]) loss_total: 0.497, acc_r: 0.740
(ep: 6, it: 83000, t: 0.004[s], ept: 0.07/0.12[h]) loss_total: 0.445, acc_r: 0.760
(ep: 6, it: 88000, t: 0.004[s], ept: 0.07/0.12[h]) loss_total: 0.614, acc_r: 0.570
(ep: 6, it: 93000, t: 0.004[s], ept: 0.08/0.12[h]) loss_total: 0.490, acc_r: 0.740
(ep: 6, it: 98000, t: 0.004[s], ept: 0.08/0.12[h]) loss_total: 0.466, acc_r: 0.800
(ep: 6, it: 103000, t: 0.004[s], ept: 0.08/0.12[h]) loss_total: 0.502, acc_r: 0.780
(ep: 6, it: 108000, t: 0.004[s], ept: 0.09/0.12[h]) loss_total: 0.491, acc_r: 0.760
(ep: 6, it: 113000, t: 0.004[s], ept: 0.09/0.12[h]) loss_total: 0.432, acc_r: 0.810
(ep: 6, it: 118000, t: 0.004[s], ept: 0.10/0.12[h]) loss_total: 0.388, acc_r: 0.780
(ep: 6, it: 123000, t: 0.004[s], ept: 0.10/0.12[h]) loss_total: 0.531, acc_r: 0.700
(ep: 6, it: 128000, t: 0.004[s], ept: 0.10/0.12[h]) loss_total: 0.445, acc_r: 0.840
(ep: 6, it: 133000, t: 0.004[s], ept: 0.11/0.12[h]) loss_total: 0.543, acc_r: 0.710
(ep: 6, it: 138000, t: 0.004[s], ept: 0.11/0.12[h]) loss_total: 0.501, acc_r: 0.760
(ep: 6, it: 143000, t: 0.004[s], ept: 0.12/0.12[h]) loss_total: 0.513, acc_r: 0.750
(ep: 6, it: 148000, t: 0.004[s], ept: 0.12/0.12[h]) loss_total: 0.507, acc_r: 0.770
(ep: 7, it: 1600, t: 0.004[s], ept: 0.00/0.14[h]) loss_total: 0.439, acc_r: 0.760
(ep: 7, it: 6600, t: 0.004[s], ept: 0.01/0.13[h]) loss_total: 0.399, acc_r: 0.820
(ep: 7, it: 11600, t: 0.004[s], ept: 0.01/0.12[h]) loss_total: 0.466, acc_r: 0.740
(ep: 7, it: 16600, t: 0.004[s], ept: 0.01/0.12[h]) loss_total: 0.426, acc_r: 0.810
(ep: 7, it: 21600, t: 0.004[s], ept: 0.02/0.12[h]) loss_total: 0.376, acc_r: 0.810
(ep: 7, it: 26600, t: 0.004[s], ept: 0.02/0.12[h]) loss_total: 0.362, acc_r: 0.820
(ep: 7, it: 31600, t: 0.004[s], ept: 0.03/0.12[h]) loss_total: 0.391, acc_r: 0.800
(ep: 7, it: 36600, t: 0.004[s], ept: 0.03/0.12[h]) loss_total: 0.466, acc_r: 0.800
(ep: 7, it: 41600, t: 0.004[s], ept: 0.03/0.12[h]) loss_total: 0.301, acc_r: 0.900
(ep: 7, it: 46600, t: 0.004[s], ept: 0.04/0.12[h]) loss_total: 0.483, acc_r: 0.730
(ep: 7, it: 51600, t: 0.004[s], ept: 0.04/0.12[h]) loss_total: 0.453, acc_r: 0.790
(ep: 7, it: 56600, t: 0.004[s], ept: 0.05/0.12[h]) loss_total: 0.525, acc_r: 0.720
(ep: 7, it: 61600, t: 0.004[s], ept: 0.05/0.12[h]) loss_total: 0.520, acc_r: 0.640
(ep: 7, it: 66600, t: 0.004[s], ept: 0.05/0.12[h]) loss_total: 0.471, acc_r: 0.800
(ep: 7, it: 71600, t: 0.004[s], ept: 0.06/0.12[h]) loss_total: 0.494, acc_r: 0.740
(ep: 7, it: 76600, t: 0.004[s], ept: 0.06/0.12[h]) loss_total: 0.441, acc_r: 0.790
(ep: 7, it: 81600, t: 0.004[s], ept: 0.07/0.12[h]) loss_total: 0.420, acc_r: 0.810
(ep: 7, it: 86600, t: 0.004[s], ept: 0.07/0.12[h]) loss_total: 0.398, acc_r: 0.850
(ep: 7, it: 91600, t: 0.004[s], ept: 0.07/0.12[h]) loss_total: 0.430, acc_r: 0.780
(ep: 7, it: 96600, t: 0.004[s], ept: 0.08/0.12[h]) loss_total: 0.509, acc_r: 0.750
(ep: 7, it: 101600, t: 0.004[s], ept: 0.08/0.12[h]) loss_total: 0.503, acc_r: 0.780
(ep: 7, it: 106600, t: 0.004[s], ept: 0.09/0.12[h]) loss_total: 0.438, acc_r: 0.770
(ep: 7, it: 111600, t: 0.004[s], ept: 0.09/0.12[h]) loss_total: 0.539, acc_r: 0.670
(ep: 7, it: 116600, t: 0.004[s], ept: 0.09/0.12[h]) loss_total: 0.314, acc_r: 0.830
(ep: 7, it: 121600, t: 0.004[s], ept: 0.10/0.12[h]) loss_total: 0.511, acc_r: 0.750
(ep: 7, it: 126600, t: 0.004[s], ept: 0.10/0.12[h]) loss_total: 0.502, acc_r: 0.740
(ep: 7, it: 131600, t: 0.004[s], ept: 0.11/0.12[h]) loss_total: 0.430, acc_r: 0.790
